股鰾代號,詢圈/競價,CB代碼,發行標的,TCRI/擔保,發行量,主辦券商,到期日,董事會通過,股本(億),備註
6807,詢圈,68071,峰源一KY,TCRI5,6.5,永豐金證券,5Y,2025-03-13,5.4,
6692,詢圈,66921,進能服一,TCRI6,2.0,元大證券,5Y,2025-05-08,5.9,100-102%
8431,詢圈,84312,匯鑽科二,TCRI7,5.0,未定,3Y,2025-05-09,4.4,
2109,詢圈,21092,華豐二,TCRI6,10.0,富邦證券,3Y,2025-05-12,27.9,
4760,詢圈,47602,勤凱二,TCRI6,4.0,未定,3Y,2025-08-05,3.2,1.05
8210,詢圈,82102,勤誠二,TCRI4,15.0,元大證券,3Y,2025-08-07,12.5,100-102%
8210,競拍,82103,勤誠三,TCRI4,,元大證券,3Y,2025-08-06,12.5,1.02
6576,競拍,65761,逸達一,有擔保,4.0,未定,3Y,2025-09-17,15.7,
6862,詢圈,68621,三集瑞一KY,TCRI6,10.0,華南永昌證,3Y,2025-09-25,5.0,100-101%
3701,競拍,37013,大眾控三,TCRI6,6.0,富邦證券,3Y,2025-10-03,23.7,
2329,詢圈,23291,華泰一,TCRI5,25.0,未定,3Y,2025-10-29,65.9,100-102%
2455,詢圈,24552,全新二,TCRI5,5.0,未定,3Y,2025-10-30,18.5,100-110%
2455,競拍,24553,全新三,TCRI5,25.0,未定,3Y,2025-10-30,18.5,1.02
2233,詢圈,22331,宇隆一,TCRI4,13.0,未定,3Y,2025-11-05,6.0,100-102%
6547,競拍,65472,高端二,有擔保,7.5,未定,3Y,2025-11-06,32.9,1.005
6672,詢圈,66721,騰輝一KY,TCRI6,5.0,永豐金證券,5Y,2025-11-07,7.1,100-101%
6672,競拍,66722,騰輝二KY,TCRI6,5.0,永豐金證券,5Y,2025-11-07,7.1,
3587,競拍,35872,閎康二,TCRI4,7.0,元大證券,5Y,2025-11-07,6.7,
6913,競拍,69131,鴻呈一,TCRI6,4.5,未定,3Y,2025-11-10,4.4,
5534,詢圈,55344,長虹四,TCRI5,15.0,群益金鼎證,5Y,2025-11-11,29.0,100-101%
6603,詢圈,66034,富強鑫四,TCRI6,4.0,統一證券,3Y,2025-11-11,16.7,
8476,詢圈,84762,台境二,TCRI7,2.5,未定,3Y,2025-11-12,8.3,100-101%
2762,詢圈,27621,世界健身一KY,TCRI5,5.0,未定,3Y,2025-11-12,11.3,100-101%
8467,競拍,84674,波力四KY,上海商銀,2.1,富邦證券,3Y,2025-11-13,5.0,1.005
8467,詢圈,84675,波力五KY,TCRI6,3.9,富邦證券,3Y,2025-11-13,5.0,1.005
6101,競拍,61011,寬魚國際一,有擔保,1.5,富邦證券,3Y,2025-11-13,11.5,1.005
6101,詢圈,61012,寬魚國際二,-,2.5,富邦證券,3Y,2025-11-13,11.5,
3149,競拍,31494,正達四,有擔保,6.5,未定,3Y,2025-11-22,22.6,
3011,競拍,30112,今皓二,有擔保,4.5,群益金鼎證,3Y,2025-11-26,11.3,
4714,競拍,47148,永捷八,第一銀行,3.0,元富證券,3Y,2025-12-05,17.8,
